reviewId,comment,created_at,rider_review_id,reviewer_id
62251,,2019-04-01T11:49:23,62251,24861
62284,,2019-04-01T12:47:07,62284,25983
62286,わずか数メートルの距離のために滅茶苦茶狭い道へ入るよう指示された。互助モビリティ。歩けと言いたい。,2019-04-01T12:49:59,62286,23601
62292,,2019-04-01T13:00:13,62292,24861
62304,,2019-04-01T13:23:28,62304,24861
62340,"crewは安さをウリにしたサービスではありません。
サービスの主旨やコンセプトを理解した上でご利用下さい。",2019-04-01T14:20:49,62340,7324
62448,,2019-04-01T17:29:01,62448,25983
62482,,2019-04-01T20:52:36,62482,713
62486,ライドから評価まで時間が経過した,2019-04-02T01:42:45,62486,21366
62492,"評価遅れ。
",2019-04-02T03:44:28,62492,28269
62494,評価遅れ,2019-04-02T03:44:48,62494,28269
62496,"ピンの位置と来て欲しい場所が異なった。
土地勘ある場所だったので問題なかったですが、到着まで10分は費やした。",2019-04-02T03:48:23,62496,9766
62506,最低でした。,2019-04-02T06:03:17,62506,7583
62513,終始ほぼ無言で無愛想。爆睡してドアにヨダレを垂らされる。寝ぼけてるのか酔っ払ってるのか知らないがシートを蹴ってきたり走行中ドアを開けようとしてくる。安全なライドが出来ない。二度と乗せたくない。,2019-04-02T08:38:30,62513,23601
62535,,2019-04-02T12:26:44,62535,24861
62545,,2019-04-02T13:00:43,62545,1831
62559,我々ドライバーはタクシードライバーではありません。タクシーと同じような利用をされるのでは、タクシーを使われてはいかがでしょうか。,2019-04-02T13:19:24,62559,17779
62569,,2019-04-02T13:44:25,62569,37361
62623,靴下を脱ぎ出し足の裏を触って車内を触る,2019-04-02T15:30:33,62623,28261
62629,,2019-04-02T15:41:31,62629,24861
62652,,2019-04-02T16:35:17,62652,21531
62656,,2019-04-02T16:48:00,62656,1831
62689,,2019-04-02T17:51:34,62689,12529
62705,"お弁当食べて良いかとの確認をしてくれたまでは良かったが、こぼさないで下さいと注意していたにもかかわらず、ご飯粒いっぱい落としていった。
非常に残念。",2019-04-02T18:20:10,62705,25074
62723,断りなく飲食,2019-04-02T18:45:53,62723,17320
62724,"具合の悪い友人を気遣ってCrewで車を呼んだのだと思いますが、申し訳ないのですが、具合の悪い方がいる場合は利用をご遠慮下さい。
",2019-04-02T19:00:20,62724,22263
62726,,2019-04-02T19:05:29,62726,22809
62757,,2019-04-03T07:56:40,62757,21531
62759,全体的に態度が横暴であり、ドライブを楽しむ感じではありませんでした。,2019-04-03T09:53:22,62759,18711
62791,お二人での乗車で経由地あり。最終目的地に向かうライダーはアプリ未所持でした。,2019-04-03T12:16:54,62791,18339
62816,ペットボトルのお茶を座席にこぼされた 申告なし,2019-04-03T13:09:46,62816,32105
62819,"ずっとスマホを操作されていて、会話はほぼありませんでした。
動画を見ていたのか、音量もそれなりに大きて目でした。",2019-04-03T13:20:37,62819,18339
62897,,2019-04-03T16:25:27,62897,37361
62942,,2019-04-03T18:09:22,62942,29370
62948,待ち時間が長かったです,2019-04-03T18:34:20,62948,16154
62998,写真なし,2019-04-04T09:18:32,62998,28269
63003,一ヶ月程前のライドに関わらず、評価頂けてなかった為。,2019-04-04T09:45:27,63003,19309
63049,タバコ臭い,2019-04-04T13:11:28,63049,8083
63059,評価を車内でいただくことができませんでした。,2019-04-04T13:31:03,63059,20356
63075,,2019-04-04T14:05:13,63075,20356
63185,酔って絡んできました,2019-04-04T17:25:57,63185,25074
63191,,2019-04-04T17:40:15,63191,29976
63221,"事前に遅れる旨の連絡はあったのですが、２０分近く遅れてきました。
また、乗車中、マスクをしないでずっと咳き込んでいて、かなり嫌な空間でした。
冷え込んでいたので、窓を開けるわけにもいかないので…",2019-04-04T19:00:24,63221,23324
63226,シートベルトを着用していただけなかったため。,2019-04-05T01:48:32,63226,18339
63230,,2019-04-05T04:18:19,63230,22263
63240,"人数増加
経由地あり
ライド途中終了",2019-04-05T08:51:48,63240,28269
63241,"写真なし
評価遅れ
名前がイニシャルに変わった",2019-04-05T08:53:32,63241,28269
63244,決済遅れ,2019-04-05T11:00:02,63244,4267
63350,乗車本人がアプリを使用していない,2019-04-05T14:44:28,63350,29976
63415,,2019-04-05T16:22:35,63415,22701
63525,おしゃべりできれば男はそれでいいと考えている。,2019-04-05T18:01:43,63525,17326
63541,経由地が遠かった。,2019-04-05T18:17:18,63541,12494
63634,評価は翌朝くらいまでに欲しいです。,2019-04-06T04:32:12,63634,30303
63644,程々な酔い具合でお呼び下さい。,2019-04-06T07:42:53,63644,25211
63675,,2019-04-06T12:05:46,63675,12529
63737,目的地が間違っていて、細いところばかり走らされました。,2019-04-06T14:18:52,63737,21676
63756,,2019-04-06T14:49:52,63756,12529
63760,,2019-04-06T14:51:37,63760,24861
63774,,2019-04-06T15:14:48,63774,12529
63783,いくらなんでも決済遅すぎです！,2019-04-06T15:30:34,63783,21531
63820,"評価が数日経ってからだった為。
",2019-04-06T16:15:11,63820,23324
63863,写真なし,2019-04-06T17:03:23,63863,10773
63873,,2019-04-06T17:15:15,63873,22809
63884,,2019-04-06T17:34:08,63884,18912
63947,"お酒を飲んで酔っていたせいか、座席を押したり蹴ったり、落ち着きがなく、気持ちよく運転できなかった。
また、1名の乗車でリクエストが来ていたにもかかわらず、2名での乗車であった。",2019-04-06T18:23:46,63947,36892
63966,三人乗せたた際に三人とも目的地同じと聞いて、そうだと言われたから乗せたけど、結局みんなバラバラ。,2019-04-06T19:14:06,63966,30816
63985,,2019-04-07T04:15:57,63985,12529
63990,,2019-04-07T06:43:42,63990,28840
64070,立ち寄り地点があったため,2019-04-07T14:12:53,64070,28851
64172,目的地住所が異なっていたにも関わらず電話に夢中になっており、異なっていた目的地付近に着いてから新たな目的地住所を検索し向かったため時間のロスがあった。,2019-04-07T18:05:55,64172,8749
64181,,2019-04-07T20:10:58,64181,22809
64183,,2019-04-07T22:46:32,64183,18586
64184,,2019-04-07T22:48:45,64184,18586
64185,,2019-04-07T22:53:50,64185,18586
64195,すでにご連絡済み。,2019-04-08T07:24:21,64195,41463
64196,,2019-04-08T09:52:25,64196,7324
64197,,2019-04-08T09:52:49,64197,7324
64198,,2019-04-08T09:53:29,64198,7324
64199,,2019-04-08T09:54:06,64199,7324
64200,,2019-04-08T09:54:28,64200,7324
64201,,2019-04-08T09:54:37,64201,7324
64212,,2019-04-08T12:00:51,64212,28321
64281,目的地とは全く違う方向の立ち寄り地を言われたため,2019-04-08T14:36:25,64281,28851
64331,,2019-04-08T16:01:25,64331,29976
64364,,2019-04-08T17:01:23,64364,16154
64409,,2019-04-08T18:40:12,64409,12529
64411,写真がペンギン,2019-04-08T19:02:29,64411,28269
64430,,2019-04-09T04:27:01,64430,29976
64439,,2019-04-09T11:44:18,64439,38409
64478,,2019-04-09T13:36:32,64478,1831
64555,同乗者が酔っていて態度が悪かった,2019-04-09T15:51:15,64555,17320
64580,"出発地点、目的地の変更
",2019-04-09T16:48:06,64580,31666
64582,,2019-04-09T16:51:42,64582,29370
64598,,2019-04-09T17:15:33,64598,26160
64602,,2019-04-09T17:42:37,64602,29370
64609,"本人以外の利用
複数アカウント所持の可能性濃厚
利用停止が、妥当だと思います",2019-04-09T17:56:43,64609,21531
64621,泥酔、お礼なし、降りたらドア開けっ放し、たぶん依頼人と別人,2019-04-09T18:29:31,64621,25408
64638,お連れの方が運転席の後ろを足で何度もたたいたり、降車の際にジャンプして降車し後ろも見ずにドアを閉めたりと人の車に乗っているという態度ではなく、今後車を破損させるトラブルを招きかねないと判断し評価を下げさせてちただきました。,2019-04-09T19:29:40,64638,22263
64647,"左折専用の表示がある道で右折を求められた。
車内で、自分のスマホを使って大音量の音楽を断続的にかけていた。",2019-04-09T23:50:36,64647,22701
64648,本人に問題はなかったが、同乗者に問題あり。大声で騒ぐ、ドライバーを「誰この人」呼ばわり、降車時にも無言など。,2019-04-09T23:55:18,64648,22701
64650,"出発地に到着後、10分近く待たされた。
乗車距離制限のあるライダーのため、乗車後早々に「本当の目的地は〜」と距離制限外の地域までのドライブを求められた（お断りした）。",2019-04-09T23:59:37,64650,22701
64705,断りなく車内でタバコを吸われたため,2019-04-10T13:09:29,64705,28851
64748,,2019-04-10T14:10:21,64748,8749
64754,,2019-04-10T14:13:20,64754,42701
64893,,2019-04-10T17:04:09,64893,29315
64896,,2019-04-10T17:16:41,64896,18807
64898,,2019-04-10T17:17:21,64898,18807
64963,決済は翌日までにお願いいたします。,2019-04-11T03:59:51,64963,17779
65005,,2019-04-11T12:38:57,65005,26196
65007,,2019-04-11T12:43:42,65007,24861
65013,仲間うちでのうるさい会話,2019-04-11T12:50:41,65013,16157
65032,,2019-04-11T13:23:10,65032,1831
65057,,2019-04-11T14:20:30,65057,24861
65058,,2019-04-11T14:21:57,65058,24861
65131,,2019-04-11T15:46:14,65131,29370
65136,,2019-04-11T15:55:50,65136,22809
65142,プロフィール画像未登録により、マッチング時、乗車時にライダーさんの特定が困難となっている。,2019-04-11T16:02:08,65142,7618
65159,写真がない,2019-04-11T16:16:21,65159,10773
65197,,2019-04-11T17:14:14,65197,10773
65209,くるまの仕様の仕方が雑な印象を受けました。,2019-04-11T17:31:14,65209,12494
65234,"出発地のピンの位置が違う。
指定された場所でしばらく待ったあと、メッセージを受けて新しい指定の場所に行ったが、またさらに待たされた。
また、これらのせいで、指定方向外進行禁止標識の渋谷でぐるぐる回ることになった。",2019-04-11T19:10:04,65234,12494
65244,,2019-04-12T03:37:19,65244,26196
65250,決済が遅い,2019-04-12T04:50:35,65250,10773
65251,"乗車ピンの位置が駐停車場所。
軽く、儲かるんですか？といったことを聞いてきた。",2019-04-12T04:51:49,65251,10773
65258,写真なし,2019-04-12T05:47:52,65258,28269
65402,目的地が違う,2019-04-12T14:36:01,65402,23527
65406,車両進入禁止の道を通らされる,2019-04-12T14:41:38,65406,29976
65506,泥酔しての乗車でした。眠ってしまい、目的地でお声かけしても起きてもらえず困りました,2019-04-12T16:01:43,65506,21366
65515,,2019-04-12T16:06:58,65515,24861
65532,"化粧臭くてかなわないです
勘弁してください。",2019-04-12T16:13:35,65532,21531
65543,,2019-04-12T16:25:03,65543,37932
65561,,2019-04-12T16:41:25,65561,12494
65582,,2019-04-12T17:01:56,65582,12529
65600,設定されていた目的地と実際の目的地が異なっていたが、設定変更不可でした。このよう時に修正できるようにしてもらいたいです。,2019-04-12T17:20:45,65600,24636
65601,"crewはドライバーとライダー相互の善意・好意により成り立つライドシェアサービスで、単なる送迎サービスではありませんしドライバーはタクシー運転手ではありません。
crewサービスコンセプトをご理解の上ご利用ください。",2019-04-12T17:22:21,65601,7324
65602,,2019-04-12T17:24:41,65602,7324
65609,,2019-04-12T17:30:24,65609,30691
65610,,2019-04-12T17:30:31,65610,30691
65641,行動は、問題ありません。ただ、クルーは感謝料払わなくてもいいと言った考えを持っていたので,2019-04-12T17:53:59,65641,9258
65646,,2019-04-12T17:58:33,65646,23508
65650,乗車位置の指定が大幅に違う,2019-04-12T18:02:31,65650,13412
65662,,2019-04-12T18:14:42,65662,29976
65704,,2019-04-12T19:16:57,65704,22809
65706,写真ナシ,2019-04-12T19:26:02,65706,28269
65718,,2019-04-13T01:32:13,65718,28269
65719,,2019-04-13T01:32:23,65719,28269
65728,"明るくなかった。
感謝の気持ちが欲しいです",2019-04-13T02:27:43,65728,22077
65764,"タバコ臭がひどく、乗車した直後から車内がタバコ臭くなりました。
評価も遅かったです。",2019-04-13T11:43:42,65764,18339
65855,,2019-04-13T14:15:09,65855,15078
65937,"1度目のマッチングで経由を希望されましたが、お断りしたらかなり御不満そうでした。
2度目のマッチングで白金に行き
このコメントが3回目のマッチングです。
ご本人は乗車されず、同乗していた男性を五本木までお送りしました。
明らかなルール違反です。
が、現場の対応としてはお乗せせざるを得ない状況だったので対応しましたが、2度とご利用頂きたく無いです。
乗車されていないのに今回の評価が反映されるのは、良い評価でも悪い評価でもいずれにしても嫌です。",2019-04-13T16:00:37,65937,13412
65958,,2019-04-13T16:19:26,65958,41322
65963,,2019-04-13T16:24:43,65963,15078
65971,,2019-04-13T16:34:54,65971,15078
65983,,2019-04-13T16:52:50,65983,24861
65989,,2019-04-13T17:02:28,65989,12529
66005,,2019-04-13T17:14:35,66005,21795
66036,,2019-04-13T17:53:19,66036,12529
66044,,2019-04-13T18:00:57,66044,12529
66119,,2019-04-14T09:53:20,66119,7324
66202,,2019-04-14T15:00:46,66202,24861
66211,,2019-04-14T15:45:05,66211,24861
66229,,2019-04-14T16:24:08,66229,40373
66231,,2019-04-14T16:26:09,66231,24861
66261,,2019-04-14T17:52:06,66261,36998
66263,目的地の設定違い,2019-04-14T18:13:36,66263,22809
66264,,2019-04-14T18:13:54,66264,22809
66271,"待ち合わせ場所に到着してから10分ほど待ちました
到着後も特に謝罪はなく
さらに乗り込んでからすぐ眠られてしまったので、ただ足として使うならタクシーでいいんじゃないかなと思いました",2019-04-14T18:59:31,66271,29992
66282,決済が遅い,2019-04-15T03:33:21,66282,10773
66306,,2019-04-15T12:19:54,66306,18807
66310,,2019-04-15T12:32:34,66310,36963
66345,,2019-04-15T13:38:37,66345,18586
66369,,2019-04-15T14:29:28,66369,29370
66412,,2019-04-15T15:47:00,66412,29370
66418,乗車人数の変更、行き先変更、大声で話す、車の中でドタバタする、シートベルトしない、イチャイチャする。,2019-04-15T15:51:08,66418,10773
66422,プロフィール画像未登録により、マッチング時、乗車時にライダーさんの特定が困難となっている。（一度ご利用があったかもしれません）,2019-04-15T15:55:56,66422,7618
66487,,2019-04-16T02:27:20,66487,29315
66488,"Aaa
",2019-04-16T02:57:49,66488,35228
66497,,2019-04-16T06:01:14,66497,29315
66498,,2019-04-16T06:14:51,66498,28840
66499,迅速な決済にご協力ください。,2019-04-16T09:51:47,66499,17779
66502,決済が遅いです。,2019-04-16T10:39:44,66502,40138
66511,,2019-04-16T12:08:30,66511,24861
66514,,2019-04-16T12:18:51,66514,24861
66520,,2019-04-16T12:35:03,66520,42314
66546,,2019-04-16T13:37:03,66546,18711
66559,,2019-04-16T13:58:56,66559,17779
66584,,2019-04-16T14:37:39,66584,28318
66682,,2019-04-16T18:16:31,66682,22809
66683,N/A,2019-04-16T18:19:54,66683,18586
66762,"タクシーと勘違いされていませんか？
タクシーのご利用をオススメします。",2019-04-17T13:18:33,66762,17779
66770,,2019-04-17T13:26:19,66770,32105
66789,決済は、その日のうちにお願い致します,2019-04-17T13:59:05,66789,21531
66814,,2019-04-17T14:34:10,66814,24861
66830,決済遅れにつき、減点します。,2019-04-17T15:02:06,66830,21139
66831,,2019-04-17T15:03:08,66831,7324
66890,"目的地違い。
入力場所と異なる地点。
言い訳するもののあまり申し訳ない気持ちが伝わってこない。",2019-04-17T16:42:39,66890,17934
66891,,2019-04-17T16:43:09,66891,9258
66904,"車内で飲食する時は、同意を得て下さい。
タクシーではないので、何をしても許されるわけではありません。",2019-04-17T17:12:33,66904,21531
66935,シートベルトの着用をしていただけませんでした。,2019-04-17T23:23:02,66935,18339
67043,,2019-04-18T14:09:16,67043,18586
67061,,2019-04-18T14:46:26,67061,29370
67188,"迎えに行く場所の設定ミス。
下車時の言動、
いずれも、お酒に酔っていた為。",2019-04-18T18:10:58,67188,23324
67207,,2019-04-18T22:15:08,67207,24861
67279,,2019-04-19T13:10:04,67279,24861
67282,,2019-04-19T13:16:00,67282,17967
67283,,2019-04-19T13:17:49,67283,18711
67287,,2019-04-19T13:19:26,67287,18711
67349,,2019-04-19T14:56:13,67349,30816
67361,,2019-04-19T15:18:56,67361,43395
67469,タクシーではないので。,2019-04-19T17:07:42,67469,29370
67598,,2019-04-20T00:40:47,67598,8083
67603,,2019-04-20T01:03:36,67603,7324
67625,,2019-04-20T09:41:53,67625,28318
67630,評価が遅い,2019-04-20T10:52:49,67630,24372
67652,,2019-04-20T11:53:51,67652,16747
67655,決済一週間遅れですので、減点します。この対応は心苦しいので運営で一律に下げて欲しいのですが。。。,2019-04-20T12:03:31,67655,21139
67754,,2019-04-20T15:01:07,67754,24861
67768,,2019-04-20T15:25:24,67768,38384
67773,,2019-04-20T15:32:27,67773,7324
67877,,2019-04-20T17:08:25,67877,28269
67878,,2019-04-20T17:08:42,67878,28269
67931,目的地の変更,2019-04-20T18:12:29,67931,31666
67933,出発地の変更,2019-04-20T18:13:41,67933,31666
67941,,2019-04-20T18:16:37,67941,30816
67970,写真ナシ,2019-04-20T20:54:55,67970,28269
67977,香水の匂いが強くて少し気になりました,2019-04-21T01:52:36,67977,8749
67991,,2019-04-21T10:14:54,67991,28840
68011,,2019-04-21T13:00:24,68011,24861
68071,"このライダーではSOSボタンを押しました。乗った時から態度、言葉使いが非常に悪く、人間としてのモラルは私が出会った中で最低でした。降車してからも飲んでいたカップを車に投げつけられました。車にはキズはつかなかったのが良かったです。
私はおっさんなので、多少の事には驚かないでさが、女性ドライバーもいますので、非常に危険です。この人はクルーを使うべきではありません。クルーからも除籍していただくと助かります。",2019-04-21T16:04:39,68071,27477
68083,"反対側の道路側についたので気にくわないのか？  態度、言葉使いが悪い、窓開けたまま右側からドアをおもいっきり閉めておりました。crewを勘違いしていますね。
250回目が楽しみだったのに「ガックリ」",2019-04-21T16:36:58,68083,26202
68108,ゴミを置いていったことと、延々と電話で通話しておりました。,2019-04-21T18:06:44,68108,22251
68117,,2019-04-21T18:31:23,68117,22809
68118,,2019-04-21T18:31:38,68118,22809
68120,"車内で化粧をしながら、終始誰かと通話していた。車内で香水。
経由地指定され、経由地で1名追加乗車。しかし、なかなか現れず経由地でも待たされた。
クルーのことをタクシーと称していた。",2019-04-21T18:34:12,68120,12494
68167,,2019-04-22T12:18:57,68167,24861
68175,乗車中はシートベルトの着用をお願いします。,2019-04-22T12:37:26,68175,18711
68193,,2019-04-22T13:22:04,68193,24861
68198,,2019-04-22T13:23:10,68198,24861
68203,,2019-04-22T13:33:31,68203,18711
68218,"ナビ通りのルートなのにやたらと指示され、挙句指示間違え。
また、雨が降ってきたのに窓を全開にして、車内に雨が入っているのに窓を閉めない。",2019-04-22T13:58:19,68218,958
68320,,2019-04-22T16:51:37,68320,7324
68321,目的地が少し違っていたため,2019-04-22T16:52:35,68321,28851
68329,"乗車後、会話もほぼ成り立たず、イビキをかいておやすみ。
飲酒されていたようで、指定の目的地到着し到着ボタン押すも、再度別場所を指定され、10分プラス。
寝ぼけてらっしゃったのか、意識もはっきりせず、お水差しだし、何とか希望の場所到着。
前にお乗せしたような記憶もあり、悪い方ではないと思うので評価迷いましたが。今回は辛めに。",2019-04-22T17:04:15,68329,17934
68331,,2019-04-22T17:16:19,68331,24861
68349,,2019-04-22T18:04:30,68349,24861
68350,,2019-04-22T18:05:20,68350,24861
68368,,2019-04-22T19:17:27,68368,7324
68417,,2019-04-23T12:24:44,68417,37361
68435,"到着するやいなや急かされた。
やむおえない交通事情により遅れる事もありので時間に余裕を持って利用すべきでは。",2019-04-23T13:29:18,68435,37361
68439,,2019-04-23T13:40:06,68439,36637
68449,乗車人数の変更,2019-04-23T14:17:00,68449,31666
68472,乗車中はシートベルトの着用をお願いします。,2019-04-23T14:45:11,68472,18711
68499,,2019-04-23T15:12:59,68499,44026
68519,,2019-04-23T15:56:46,68519,23537
68639,,2019-04-24T12:40:06,68639,29370
68668,,2019-04-24T13:43:21,68668,24861
68675,5分弱連絡なしで待たされました。,2019-04-24T13:52:57,68675,958
68749,出発地のピンの刺し間違えで、実際のお迎え場所と違った,2019-04-24T15:32:24,68749,41595
68810,,2019-04-24T17:34:57,68810,24861
68843,,2019-04-24T19:12:47,68843,7324
68870,タクシー使われたらいかがですか？,2019-04-25T11:32:13,68870,17779
68898,,2019-04-25T12:53:45,68898,24861
68932,,2019-04-25T13:50:57,68932,24861
68949,タクシーを使われたほうがよろしいかと思います。,2019-04-25T14:22:14,68949,17779
68971,,2019-04-25T15:10:51,68971,24861
68979,,2019-04-25T15:21:20,68979,24861
69044,,2019-04-25T17:27:09,69044,29976
69058,終始寝ておられました。まぁ仕方ないですが。,2019-04-25T18:04:38,69058,18585
69112,謝礼への反応の遅さ,2019-04-26T03:36:07,69112,23537
